location_id,sensor_type,reading_value,unit,quality_score,timestamp,metadata
LOC_001,CO2,849.77,ppm,100,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.3"", ""temperature_compensation"": true}"
LOC_001,HUMIDITY,84.637,%,89,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.4"", ""temperature_compensation"": true}"
LOC_001,AIR_QUALITY,31.639,AQI,100,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.2"", ""temperature_compensation"": true}"
LOC_001,TEMPERATURE,34.86,°C,80,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.1"", ""temperature_compensation"": false}"
LOC_001,DUST_PM25,17.794,µg/m³,75,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.4"", ""temperature_compensation"": false}"
LOC_002,CO2,526.358,ppm,100,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.1"", ""temperature_compensation"": false}"
LOC_002,HUMIDITY,47.789,%,100,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.3"", ""temperature_compensation"": true}"
LOC_002,AIR_QUALITY,24.069,AQI,100,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.5"", ""temperature_compensation"": true}"
LOC_002,TEMPERATURE,26.81,°C,96,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.2"", ""temperature_compensation"": false}"
LOC_002,DUST_PM25,4.283,µg/m³,100,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.4"", ""temperature_compensation"": false}"
LOC_003,CO2,430.617,ppm,100,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.2"", ""temperature_compensation"": true}"
LOC_003,HUMIDITY,59.773,%,100,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.1"", ""temperature_compensation"": true}"
LOC_003,AIR_QUALITY,28.881,AQI,100,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.5"", ""temperature_compensation"": true}"
LOC_003,TEMPERATURE,22.1,°C,100,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.2"", ""temperature_compensation"": false}"
LOC_003,DUST_PM25,4.186,µg/m³,100,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.5"", ""temperature_compensation"": true}"
LOC_004,CO2,775.512,ppm,100,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.5"", ""temperature_compensation"": true}"
LOC_004,HUMIDITY,79.664,%,93,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.3"", ""temperature_compensation"": false}"
LOC_004,AIR_QUALITY,47.663,AQI,100,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.4"", ""temperature_compensation"": false}"
LOC_004,TEMPERATURE,35.279,°C,79,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.4"", ""temperature_compensation"": false}"
LOC_004,DUST_PM25,17.959,µg/m³,75,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.3"", ""temperature_compensation"": true}"
LOC_005,CO2,554.526,ppm,100,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.5"", ""temperature_compensation"": false}"
LOC_005,HUMIDITY,62.55,%,100,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.5"", ""temperature_compensation"": false}"
LOC_005,AIR_QUALITY,26.931,AQI,100,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.2"", ""temperature_compensation"": true}"
LOC_005,TEMPERATURE,26.301,°C,97,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.4"", ""temperature_compensation"": false}"
LOC_005,DUST_PM25,10.288,µg/m³,100,2025-09-21T10:21:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.5"", ""temperature_compensation"": true}"
LOC_001,CO2,759.231,ppm,100,2025-09-21T10:11:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.3"", ""temperature_compensation"": false}"
LOC_001,HUMIDITY,86.118,%,88,2025-09-21T10:11:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.1"", ""temperature_compensation"": true}"
LOC_001,AIR_QUALITY,32.805,AQI,100,2025-09-21T10:11:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.4"", ""temperature_compensation"": true}"
LOC_001,TEMPERATURE,42.146,°C,65,2025-09-21T10:11:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.5"", ""temperature_compensation"": false}"
LOC_001,DUST_PM25,11.423,µg/m³,100,2025-09-21T10:11:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.3"", ""temperature_compensation"": false}"
LOC_002,CO2,576.109,ppm,100,2025-09-21T10:11:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.5"", ""temperature_compensation"": true}"
LOC_002,HUMIDITY,44.041,%,100,2025-09-21T10:11:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.2"", ""temperature_compensation"": false}"
LOC_002,AIR_QUALITY,39.736,AQI,100,2025-09-21T10:11:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.5"", ""temperature_compensation"": false}"
LOC_002,TEMPERATURE,24.59,°C,100,2025-09-21T10:11:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.5"", ""temperature_compensation"": true}"
LOC_002,DUST_PM25,8.675,µg/m³,100,2025-09-21T10:11:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.1"", ""temperature_compensation"": false}"
LOC_003,CO2,358.305,ppm,100,2025-09-21T10:11:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.3"", ""temperature_compensation"": true}"
LOC_003,HUMIDITY,52.808,%,100,2025-09-21T10:11:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.5"", ""temperature_compensation"": true}"
LOC_003,AIR_QUALITY,19.836,AQI,100,2025-09-21T10:11:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.1"", ""temperature_compensation"": true}"
LOC_003,TEMPERATURE,20.676,°C,100,2025-09-21T10:11:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.3"", ""temperature_compensation"": false}"
LOC_003,DUST_PM25,7.589,µg/m³,100,2025-09-21T10:11:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.5"", ""temperature_compensation"": true}"
LOC_004,CO2,741.923,ppm,100,2025-09-21T10:11:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.2"", ""temperature_compensation"": false}"
LOC_004,HUMIDITY,83.982,%,90,2025-09-21T10:11:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.2"", ""temperature_compensation"": true}"
LOC_004,AIR_QUALITY,28.584,AQI,100,2025-09-21T10:11:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.1"", ""temperature_compensation"": false}"
LOC_004,TEMPERATURE,28.656,°C,92,2025-09-21T10:11:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.2"", ""temperature_compensation"": false}"
LOC_004,DUST_PM25,14.66,µg/m³,88,2025-09-21T10:11:02.691304,"{""calibration_date"": ""2025-08-22"", ""sensor_version"": ""v2.3"", ""temperature_compensation"": true}"
